Review,Sentiment,Platform
Excellent service @ heritance kandalama friendly staff we enjoyed our stay to the max thanks to everyone. Great food great service. Keep up the good work. definetly Will be back soon..!!!!,Positive,Google Reviews
Horrendous experience! My husband and I were travelling around Sri Lanka on our honeymoon in August and kandalama had to be on the list because of all the good memories but it's not the same kandalama we used to know!,Negative,Google Reviews
"The hotel is known for his excellent work by Jeoffry Bawa. It is amazing to see how he had used the space and the jungle to have natural experience. Eventhough the hotel got nearly 150 rooms (if I’m not mistaken) you don’t feel it until you go to the dining area or reception. The staff is excellent and doing their best undoubtedly.Only negative thing and the biggest concern for me is how the construction badly affected to the insects and other animals. You can see thousands of insects dies everyday. I have heard lot s birds are killed too. Of course the hotel can be named as a “Nature Resort” but not as a “Eco Friendly Hotel”. If you are Nature and Wildlife sensitive person, this is not the right place.",Negative,TripAdvisor
"We were on our honeymoon in Sri Lanka and this was our first stop. The potential this place has given it's setting and architecture is amazing, but sadly it's let down by a number of things. Primarily the service - to get a drink at dinner, we had to ask three times for a drinks menu and overall it took at least 20 minutes to get one. In the lounge areas we had to get up and search for a waiter if we wanted to have a drink. And our wake up call on our first morning was an hour early! The place feels unfinished. For example the main pool feels a bit like a building site and various other areas of the hotel just feel tired or abandoned. It's a shame because if properly managed, and with some attention to detail, this hotel could be amazing. And certainly for the price, it ought to be a lot better.",Negative,TripAdvisor
Ever made sri lanka best hotel,Positive,Google Reviews
"Do not pay more than $200 USD for a deluxe room . We paid $350 6 months in advance and complained and comped a dinner. Everything is ++ as well silly policy in a modern hotel,still worth staying here Great location,awesome views.",Negative,TripAdvisor
"Lovely hotel in beautiful location. Staff so friendly. When I mentioned that it was my husbands birthday, the young lady in the cafe had a delicious birthday cake sent to our room. Such a thoughtful touch.",Positive,Booking.com
"Overall it's a great hotel and really worth it if you go on a weekend. Weekdays there's no buffet and although there's a good enough A La Carte menu, the food is meh. Most of the A La Carte items we ordered didn't have the mentioned items/garnishes in them. But the portions were very big and filling (more than enough for 1 person).
The buffet on the other hand was way better. The varieties were endless and the food tasted really good. There was homemade butter and jams.

The rooms and the service were exceptional. The jacuzzi is awesome, rooms are spacious and have a view of the lake. The surroundings are also very beautiful and there are some awesome views. The hot air balloon ride wasn't available at the time we went though.

I'd highly recommend the place and even though we were kind of disappointed on the A La Carte menu on the first day, the buffet and the rooms more than made up for it on the next 2 days. It's awesome for couples and is very peaceful.",Positive,Google Reviews
"One of the best hotels in Sri Lanka, in the middle of nature (you can see the wild elephants coming to drink in the morning...it's amazing), excellent restaurant. Excellent value for money in 2016.",Positive,Google Reviews
"Without Bawa's original genius & the unique setting, this would otherwise be just another large, busy, chain hotel catering to busloads of 'rapid-turnover' tourists. Sadly, the Bawa spirit has long gone; that his ‘library’ is poorly marked & difficult to access is perhaps emblematic. With the exception of reception staff (generally unwelcoming), service is reasonably efficient but impersonal; there are three swimming pools & a reasonable gym. Whilst the infinity pool is indeed beautiful, the 'pathway' to & from comprises a collection of small boulders & mud. We had booked 1/2 board & only ate in the dining room; the choice & quality & quantity of food was more than adequate. Special thanks to the chefs cooking breakfasts & dinner options to order, often under pressure eg when large groups appeared and expected instant service! All credit to the chefs who remained calm & did a superb job!Kandalama should seriously consider adding lockable screens to balcony doors, both for mosquitoes and to reduce monkey 'nuisance’. We felt imprisoned in our room & unable to enjoy the balcony space - which was such an important aspect of Bawa’s ‘signature’: that of bringing the outside environment into interior living spaces. We could not leave our doors open unattended - even for a quick loo break - without monkeys entering the room; males sometimes became very aggressive when challenged. Another consideration would be the provision of umbrellas for guests to take off site. No other Sri Lankan hotel in which we stayed operated on Kandalama's principle; umbrellas cannot be taken off the premises (curious as there are no walking paths). We were offered the option of purchasing an umbrella(!) but declined as it would not fit in our checked luggage.",Negative,TripAdvisor
"I was surprised to learn that the hotel was only just over 20 years old. It felt much older. It is a bold design but doesn't quite work somehow. The area outside our room (at the pool end of the building) reminded me of the inside of a prison. The whole place is a bit tired and it's hard to see how it can be sustained in the long term. It needs a lot of physical upkeep, both the exterior and the grounds. There were lots of staff everywhere so service was good but I felt they could have been better directed to keeping the place clean and making more of an effort with presentation. Windows in our room were dirty, chrome in the bathroom was degraded, the furniture was just so-so. Two plastic chairs and a scuffed table on the balcony aren't really fitting for a supposed 5 star establishment. The air conditioning in the room was exceedingly noisy and the thermostat didn't appear to work. It wasn't the most comfortable of rooms.The main dining room is a lovely spot, especially in the evening but is let down by the quality of the food. There was plenty of choice but it was all a bit bland, especially compared to the Earls Regency, another Aitken & Spence hotel we stayed at.",Negative,TripAdvisor
Having visited many time to this hotel we were expecting the same level of friendly service. Sadly this place has lost its touch. You have to wait outside for meals till a table is free most times. The girls wearing black who manage the tables seems to don't care about customer service. Each time we ask for a table of 3 they scratch their heads as if we ask for something difficult. In the meal area it is organised chaos by the staff. Tea and coffee guy runs around trying to serve tea or coffee without previously keeping cups. Each table asking for tea the guy runs around with the tea tray trying to get a tea cup. Food was quite average and similar food served almost every time. Staff is poorly trained by the management. Hotel room fittings are outdated. The room we stayed had a leaking shower cubicle. Even after they added silicon glue as a temporarily fix didn't work. Sadly this elegant hotel designed by a famous architect has lost its touch due poor management and bad service,Negative,TripAdvisor
"Just beware it’s a bit of a drive back to civilisation. Only a consideration for your timings, though.
The lunch buffet is perhaps a little expensive, given it’s the same cost as dinner.",Negative,Booking.com
âItâs better to see something once than to hear about it a thousand timesâ. ð Unique architecture and excellent view. Great food & hospitality. Helpful and friendly staff. best place for vacation.,Positive,Google Reviews
Brilliant service and friendly staff.Love the food.,Positive,Google Reviews
"Keeping that aside at the dinner time they didn't let us to enter the hall. Reason was our attire was not suitable for the dinner hall. The lady who was there at entrance informed me that only smart casual attire is accepted and that was mentioned in the terms and conditions which I did not read. After telling that she left. So we were waiting there thinking what to do because No one gave an alternative. After waiting some time I again went to that lady and asked since we're not allowed to have the dinner inside, what is the solution for this. To be honest She totally ignored us. She said if you want we can deliver the food to the room. Take the food from the buffet and keep on a table. That's what she said exactly. We were actually surprised on her behavior and this weird situation.",Negative,Google Reviews
Had an amazing breakfast.,Positive,Google Reviews
"We stayed at this hotel for one night as part of our honeymoon.As we pulled into the hotel, we were wowed at the location, and the surrounding wildlife (the hotel is built into the rock, has surrounding jungle and a view of the lake below). Service was professional, if a little soulless. At other hotels we've stayed at in Sri Lanka, the staff have been lovely, willing to have a chat with you and bending over backwards to may your stay memorable - here, they were merely businesslike.We had a deluxe room, and again, the view was fantastic but the room itself seemed a bit worn and dated. There was limescale creeping up round some of the taps, and the furniture was passable. When we went to sleep, the bed was uncomfortable, and we could hear much noise from the corridor. Both myself and my wife awoke after a fitful night's sleep with back and neck pain.Wifi was also poor. The dinner was unremarkable with the food being bland and uninspiring.What annoyed me most were the charges levied on all drinks purchases - government tax, VAT and a service charge. Other hotels in Sri Lanka don't do this - there is no reason for Heritance Kandalama to do such a thing.All in all, for the money that one is paying, there is a lot that Heritance Kandalama can do to improve.",Negative,TripAdvisor
"This is a hotel that promises much from the reviews and photos... perhaps too much. It is certainly nice, and would have been a very innovative design a few decades ago. The views from our room were superb, and you definitely feel right in the jungle with wildlife right outside. The fixtures and fittings are starting to look a little tired however, and the pool(s) were a bit of a disappointment... not much room for sunbeds and generally dated. This also goes for parts of the hotel itself which are quite cavernous (like the home of a villain in a 1970s James Bond movie) but lacking in atmosphere. All in all, a good base for getting away from it all and visiting local tourist sites, but showing it's age slightly.",Positive,TripAdvisor
"Great property, enjoyed our stay ,amazing hospitality ,good food and entertainment. Hotel is built in a lovely location with lots of facilities.must go and stay here.",Positive,Expedia
"Setting is definitely unique and fits the description of a wonderful experience of harmonizing with nature. We loved seeing the monkeys from our shower. Unfortunately, we had difficulty appreciating this due to the clientele who did not respect the staff. They were rude and demanding with no appreciation for the setting they were in. Akilla the pool attendant wanted to do something about it yet we did not want him to do anything for fear of the repercussions. We likely stayed at the wrong time but suggest the hotel scrutinize unruly guests more closely. The worst we have ever seen in our travels and we travel frequently. One example is someone putting their leg on a restaurant table... Enough said!",Negative,TripAdvisor
Awesome resort. Would greatly recommend everyone to visit. Great experience living with nature.,Positive,Google Reviews
We stayed 7 nights here in November 2021. Family with 9 month old and 4 year old.  We had booked 2 rooms but they offered us a suite instead which we took and we were so pleased we did. It was an amazing room with an awesome view and monkeys on our balcony most days. The food was good and a huge choice but due to covid the staff served us which was a bit annoying as you had to wait for them.  The pool wasn't kept as clean as I'd like but the rooms were kept nice and clean and all the staff were friendly. My main disappointment was being offered free laundry service and then being charged for it.  I missed it on the bill as I was in a rush to get out as we had a trip.  I forgot to mention the spa services were amazing. My husband and I had 2 treatments each as they were so good and reasonably priced.,Positive,Google Reviews
"Spent 3 nights here during which time we visited nearby Sigirya Rock and also went on elephant safari. Hotel is unique, carved into a rock face in the jungle. Monkeys are ever present. Amusing to watch but don’t be tempted to feed them. Hotel has great views over huge lake with Sigirya on the distance. Good facilites, 3 pools, good food. Room was fine but in need of an update. Apparently a programme of renovation is planned later this year. Good base for exploring the various attractions in the area.",Positive,TripAdvisor
"- the cost to get to sigiriya rock was 7000 Rupees quoted by the hotel so itÕs not close at all, despite looking so on the map.",Negative,Google Reviews
"One of the best if not the best hotel in Sri Lanka. Friendly staff, amazing atmosphere and great food.",Positive,Google Reviews
"A very spacious and unique hotel that is now showing its age. Check-in was efficient. Check-out was painfully slow. Food is good but again, another hotel that serves lukewarm food! Staff are 'hit and miss'. Some were very friendly. Others bordered on being uninterested. Internet is average. This hotel is an interesting one to write on. As a hotel in terms of room amenities and comfort and overall service - it is average. However, its design, location and integration into the wildlife/nature around it means that is is an absolutely must place to stay for a short visit. The nightlife sounds just blew me away - a lifetime memory. I would go back just for the experience of nature. Unfortunately, the price they charge is way too much for an average and aging hotel.",Positive,TripAdvisor
This hotel is 1km from end to end so you spend a long time walking from room to pool to restaurant etc. The rooms are extremely small and basic with almost no hanging space and very little light. Power cuts are frequent but short lived.The buffet restaurant is packed (usually with big parties) and the food is very average (beef both cold and hot was inedible) but the a la carte restaurant is good.There is a lovely infinity pool (one of the best we've seen) with a distant view of Sigiriya Rock but there are only about 10 sun beds there. There is another roof top pool but that only has about 6 sun beds. Clearly this is not enough for a hotel with 150 rooms even allowing for the fact that many people go out and about each day.,Negative,TripAdvisor
Amazing location and ambience of the hotel,Positive,Booking.com
"it is a huge hotel with plenty of rooms and plenty of people. busy, crowded, noisy. difficult to find a quiet place, especially the pool. the buffet breakfast is a mess. we might have been unlucky but our room had twice air conditioned and/or electricity problem; and above all we were right under the restaurant which meant almost non stop noise (chairs banging) from very early morning (setting breakfast buffet) until late at night (cleaning diner buffet). that was difficult to put up with.",Negative,TripAdvisor
It's a fabulous location and an Architectural marvel .....everyone should experience this dance with nature that Geoffrey Bawa has executed so beautifully!!!,Positive,Booking.com
"Honeymoon in 2001, a long time has passed but I still remember the beauty of the place and the friendliness of the people!",Negative,Google Reviews
"1. The location of the hotel was very difficult to find without renting a car 2. The circumstance of the hotel was good,spacious,and magnificent 3. Our toilet flush didn't work well,we called the receptionist several times, at last the staff came and resolved the problem for us 4. The most unsatisfactory thins was the sudden power off many many times,which cast shadow in my soul,so you would see a candle in the bathroom.But the hotel couldn't solved the problem,what a pity",Negative,Agoda
"We stayed here 5 years ago and loved it, so decided to return again and it was a mistake. The staff who were friendly, attentive, and helpful, and the food, which was a huge choice and delicious. Both our rooms were very bad, smelly, the bathroom and toilet had grubby, old, disgusting stains all over it. We were so fed up with the hotel we couldn't wait to get out.",Negative,TripAdvisor
"Reception unimpressive, hotel very faded and worn, extremely expensive for everything, food priced at 5 star big city eg new york levels especially the snack restaurant. Also you are in the middle or nowhere so you have no options but to eat the lukewarm food at crazy prices. Transportation manager tries to up sell you continuously on a bigger car. V pushy. Obviously on commission, he is more expensive than if you ask at reception when he is not there. We booked the hotel because of its ratings on tripadvisor etc. However the good ratings are very old, newer ratings are v bad but average is still high which is inaccurate. It hasnt been refurbished in over 10 years. We booked for three days and would have left immediately on arrival. However be warned the cancellation policy is to charge you for the full stay, which is not made very clear when you book. It's all very buried in the small print. Be warned. I would avoid this overpriced unwelcoming 3 star at all costs. If you have to see the location, go for lunch or dinner.",Negative,TripAdvisor
the staff lacks attitude and the crowds of locals for the vesac festival where very unpleasant. the buffet looked always eaten up and items where not replaced. we refrained from trying the evening buffet after our morning experience.,Negative,Agoda
great experience,Positive,Google Reviews
"The rooms are old and were not so clean. The drinks were not good.Some amenities missing to make it a real 5-star hotel. Check-in is made really complicated. There are constructions going on and rooms are noisy. In wedding season (like in March), the hotel is very loud, lot of things going on. Huge windows to enjoy the views all over the hotel, but windows very dirty. here are just about 8 pool beds, that are often occupied by day spa visitors.",Negative,Booking.com
Best placeto stay with nature..and enjoy the hospitality,Positive,Google Reviews
The buffet restaurant was fine (food is actually very good) but again felt unwelcoming like a canteen and not somewhere you'd linger over a romantic meal.,Negative,Expedia
Nature Friendly superb place â¦delicious food with good atmosphere,Positive,Google Reviews
"Maybe offering a boat tour to see the entire view of the hotel would be nice!
Meal options are limited. if you go for a la carte, you get only western meal, so only options you have will be a buffet which was not my favorite style.,",Negative,Booking.com
Unique property design and beautiful view.  The staff sometimes has difficulty understanding English.,Positive,Expedia
"Heritance Kandalama is one of the iconic 5 star hotels in Sri Lanka. Even though it's showing its age after standing for more than 2 decades Heritance Kandalama still is one of the best for the design and the facilities it offers the guests. The jungle access road to the hotel itself is thoroughly enjoyable even before reaching this landmark hotel. The hotel consisting of different wings is built into the jungle preserving the wilderness and the mountains. We were lucky to be upgraded to the best suite on the top floor. It's a vast suite like an apartment. It's got a great bathroom, big bed room, a living area and a sundeck. Sundeck is, of course, my favorite place being a Photographer and a Naturalist. Built against the Rocky mountain side covered in foliage the breeze running across is very comfortable - though extremely powerful. Wild life is abundant here with Giant Squirrels, Monkeys, Butterflies, Birds, Mongoose and Barking Deer paying visits from time to time. From the balcony I could get a good glimpse of the activity going on in the Kandalama lake beneath and beyond me. Fishermen in their boats on the water and the birds of prey hovering above are a pleasure to watch. Food served in the restaurant is delicious. The restaurant itself is artfully designed. The carpark is not adequate considering the size of the hotel having a large number of rooms. The playground is a nice addition.",Positive,Google Reviews
This was one of the best hotels i stayed in while travelling around Sri Lanka. The hotel is beautifully situated in the jungle with spectacular views of the nearby lake. The infinity pool was great and certainly provided a nice place to swim after a hot day. The breakfast was plentiful and had a variety of options. Dinner was also affordable and with many options (including for vegetarians). The rooms were spacious and it was amazing to be able to sit on the balcony and watch the monkeys play in the vines. Well worth the visit to the hotel and i would stay longer next time.,Positive,Booking.com
A place I will always remember as a very pleasant experience.,Positive,Google Reviews
"I last visited Kandalama in 2011 and it was great to be back and find the hotel as charming as before. The room we stayed in (Superior Twin, Sigiriya Wing) was on point, the buffet spreads at dinner and breakfast were generous and I only wish we stayed more than one night.",Positive,TripAdvisor
"Monkeys! :-) everywhere, even on the terass. But not problematic. Just curious. Amazing nature surrounding the hotel, great views on the lake and Sigriya rock. Nice swimming pools, good drinks, fantastic food for breakfast and dinner (buffet). Very welcoming and friendly staff",Positive,Booking.com
"I went to the Heritance Kandalama to experience Bawa architecture with my partner. We are both architects and had been looking very much forward to our stay. The location, scenery and architecture is splendid, definitely worth seeing. The atmosphere at the hotel however was quite disappointing and very unlike the Sri Lanka we had experienced while traveling around the island for 3 weeks. I would recommend having lunch and perhaps a swim at the hotel, but you get much more value for your money at other resorts and hotels in the area.",Negative,TripAdvisor
" The food was ok, but the dining room itself feels a little cold and impersonal compared to some of the other hotels we stayed at. Overall worth a visit but there are better wildlife/eco hotels to stay in Sri Lanka ",Negative,Agoda
"Very calm and relaxed hotel i ever visited.
The longest buffet. The breakfast to dinner is amazing. tryed lot of new food items.
Lot of things to see. Be aware of the monkeys ð, highly recommend",Positive,Google Reviews
Night timeafter mid night lobby was dark ... And no any staff ,Negative,Google Reviews
The Facilities looks outdated,Negative,Booking.com
"First thing first, you have to be ok with all kinds of species inside the hotel, yes inside the room corridorsa and even inside your room. Bats, geckos, insects, monkeys... We even had one gecko inside the room and had to call reception to take it out.
The atmosphere of the hotel is too dim, tiling is black, a nightmare.
Some staff are friendly and well trained but most of them especially in the restaurant are not english speakers.
Rooms are not clean, also tiles are black which is not good indicator of hygiene.",Negative,Expedia
"The view and atmosphere here were incredible, we were celebrating our anniversary and the views from our balcony were just fantastic. We loved just watching the monkeys in the trees by other room and the sunrise was a massively highlight.The food was also very good, although a little hectic in the dining area and everyone trying to make the most of the buffet.When we arrived we were asked to leave our bags so they could check them, which is understandable after recent events, but they had no idea whose bags belonged to which room. After an hour of waiting we still didn’t have our bags so we went reception to tell the staff which bags were ours, it just seemed a little disorganised. Also when we were shown to our room, there were a few mattresses lying in the corridors, it didn’t give a positive start in this is a 5 star hotel. The staff didn’t seem as attentive as the other hotels that we stayed in, we just seemed like a number and all that was cared about was money. The excursions were really highly priced, we just found a driver on trip advisor for half the price and he was really good. The room was ok, but no good tea options and we could hear the couple in the room next to ours, not something that you should have to hear when you are trying to relax and enjoy. I feel you could get a nicer hotel for a better cost.",Negative,TripAdvisor
"For tranquility & nature lovers hotel in right spot. My experience however with children aged 18,16 & 12 the hotel is at least 20 min drive from any sort of civilisation. We stayed in Sygria wing & unfortunately found the room in need of upgrading & cleaning. Cupboard door hanging off furniture generally scratched & worn, also shower & bathroom not clean. Perhaps due to time of visit & location numerous flies/bugs which did not aid to cleanliness.The hotel is not as per brochure,5 star.",Negative,TripAdvisor
"Food was great and the service from the staff never had any issues, even when we first visited the property 12 years back. The fact that nature is right next to your room has always been great. Kids enjoyed the pool and the walk around the huge facility.",Positive,TripAdvisor
"I booked one of their best rooms availabe. A ""Luxury King"" room facing Sigiriya wind. But only myseld King was there without luxury. It is surrounded by tress, rocks and a lake. But there was nothing to experience except great meals, pool and the lake view. Food were really great. One of the best tasty food were there. Overall cleanliness was very bad. Tiles, walls were too much old. Leaking taps, old door windows, out-dated wood finish were there. You'll never experience a 5 star quality there. Recently I visited a 4 star hotel in Dubai, Called ""TRYP by Wyndham"". We should rate it 7 stars compared to this ""Heritance Kandalama"". Staff were amazing at Kandalama, They always do care us and control their quality of service. But don't expect a luxury experience. everything is old and outdated. It is almost to be broken down on to the floor.",Negative,TripAdvisor
Hotel is 5star...but breakfast is not 5star...horrible..no more foods for buffet..breakfast is looks like 3star..,Negative,Google Reviews
"location /structure/views/comfort
buffet meals great and overall price for food and drink surprisingly good
Staff helpful",Positive,Booking.com
Overpriced,Negative,Google Reviews
"Nice location,",Positive,Google Reviews
The situation is stunning with views over the lake and after our first Heritance hotel hoped this would be as good.There were 3 weddings taking place on our arrival so the nicest pool area was not for general use. The hotel seems rather tired and our room was dark and nearly the furthest from reception.We did find a quiet pool to relax and were entertained by a family of monkeys.After reading reviews we were disappointed by the food served in a large and noisy restaurant.,Negative,TripAdvisor
Here is very nice hotel. Great views make me happy ang feel close up to nature.,Positive,Google Reviews
The bathroom was quite old and after bathing we had a pool on the floor. ,Negative,Agoda
"Very special stay. The hotel is located in the middle of the jungle and blends in beautifully. There is lots of wildlife around the hotel (especially monkeys) which you can watch from the balcony, pool or terrace. Also the staff of the hotel wad extremely nice, welcoming and helpful.",Positive,Booking.com
"My second visit to 'Ka' purely driven by my first experience was a mistake. It's pretty much homely, eco friendly retreat but I guess we should have been more careful of our personal belongings. The way they managed the complaint was simply unacceptable when they said that the item was taken by a monkey on the terrace during dinner!!!! We all know that monkeys do not go scampering around dinner tables in the night. Anyways we learnt to be more careful and trust less of the service delivery staff.",Negative,TripAdvisor
Amazing place!,Positive,Google Reviews
Verry nice.,Positive,Google Reviews
Had a great stay just after the edge of Corona with my family. This is the perfect beauty of nature. Every corner is beautiful in this building. A very iconic building. A must visit for all the architects. You'll surely enjoy l! It's a breathtaking experience. Great service! Loved everything about this building! Thanks for the hospitality and great service you did,Positive,Google Reviews
Nice place,Positive,Google Reviews
"Well disguised eco hotel, with plants growing all over the front to make it blend in with the surrounding area. There are 3 pools, one of which has the rock as a base, but there are hardly and loungers or areas to sit by the pools. It rained when we were there but, if it hadn't we would have struggled to find outside space. The hall ways are open so bats fly along them at night. There are lots of monkeys around so don't be surprised to see one outside your window. Rooms are lovely with bathrooms overlooking the lake. The buffet meal at night was awful. the beef was inedible and most of the food cold. The hotel was full so we felt as though we were in a school canteen. We therefore ate in the a la carte restaurant the 2nd night [ discount for half board clients]. The food here was delicious. This is a very expensive hotel and I don't think value for money.",Negative,TripAdvisor
"During our family trip through Sri Lanka we also stayed in the Heritance Kandalama. The location in the middle of the jungle is fantastic. Surrounded only by green trees, a lake and all kind of animals (especially monkeys) is really special. Checkin was simple and fast. The infinity pool was a great way to cool down after the car ride to the hotel and gives great views towards the lake. The rooms and the hotel itself are getting little bit old, which you can see and feel with some of the amenities. However in general it is well maintained. The breakfast is great with many fresh juices, good cappuccino and fresh fruits. We enjoyed it.",Positive,Booking.com
