Review,Sentiment
"It's just feels like heaven with all the greenery surrounding, wide choice of food and very nice people working there.",Positive
"Me and our guests were treated rudely and unprofessionally by your staff at the buffet and check out!
Firstly after dinner the waiters ganged on us saying unprofessionally to sign the dinner invoices for each of us!
Secondly at check out we had paid our bills and there was a guest who was not in our group! The receptionist informed rudely that there is an unpaid bill, which was not our fault!",Negative
"Located in a beautiful environment, Kandalma Hotel is one of the most popular hotels in Sri Lanka.  Kandalma is a beautiful accommodation where Geoffrey Bawa's architecture and nature blend together.  A must-choose place for your vacation. Don't forget to experience a Sri Lankan safari and climb the World Heritage Sigiriya Rock.",Positive
"The meals are variety of flavorful choices & very tasty .
The room , bathroom was wonderful, clean, and perfect to spend holidays .",Positive
"We stayed one night at the Heritance Kandalama after our trip to Kandy and before going to visit Sigiriya Rock. Overall, a mixed experience. The location is excellent, with an infinity pool and breakfast area overlooking the lake. Excellent service from Akila, the pool attendant who took amazing pictures of us. Service from the restaurant was good. A big shout out to Dinesh for going out of his way to accommodate our vegetarian requirements. Reception staff was very poor though. We took a room on a full board rate, which we paid at check-in bur didn't get an invoice or any details on how they got to the rate. Late at night they called to say it was an incorrect rate and we had to pay more and we said we would at check-out. Next day after visiting Sigiriya whilst having lunch they came to us saying we had to pay more. We had to say please let us finish lunch and we will pay at check-out. When we went to pay, despite admitting fault they still said we had to pay. Had I known that the full board rate was basically a $30 for lunch and $35 for dinner, per person, I would have definitely refused. There were plenty of vegetarian options but the sri lankan food was too spicy and the western food left much to be desired. I would recommend the hotel for its location but nothing else. And definitely don't take full.board option is you are vegetarian. Staff need proper training.",Positive
Amazing 👏 Place,Positive
"As a hotel owner myself, it is always difficult for me to write negatively about another accommodation. I am fully aware of the impact of this, and of the challenges that the hospitality industry has faced during the pandemic, and I am empathetic towards other business owners in this industry. However, I reluctantly feel compelled to share my disappointment with my current experience Heritance Kandalama, Sigiriya directly from the property.

Upon check-in, my partner and I were informed that there had been an error on our booking meaning the room had been booked for one guest only, despite booking a Deluxe Room and mailing the property ahead of time requesting 2 Twin beds. The hotel admitted no responsibility for this miscommunication and had zero empathy, I was quite upset although I was understanding that a solution must be found. Imagine my surprise when the hotel representative then demanded an additional $100 per night ($200 in total - essentially the cost of a second room), despite no further consumables being used for 2pax than there is for 1pax - bearing in mind this is on a ROOM ONLY basis. The room was prepared, and adding a second person to a room has zero impact on the hotels expenses from my first hand experience - especially as breakfast was not included. This blatant attempt at a money grab left a sour taste in our mouths, and we were disappointed by the lack of explanation provided and the antagonistic & disingenuous attitude of the front desk staff & front desk manager.

Upon reaching our room, we were greeted with a disturbing sight. A gigantic millipede and an ant infestation greeted us as soon as we entered. While we understood that we were in a jungle setting, we had expected a '5-star' property to be able to keep simple pests at bay.

In addition to this, the air conditioning unit in our room began to leak at 23:00 hours, causing the wooden floors to become flooded within just a few minutes. Despite multiple calls to the front desk requesting maintenance assistance, we were met with reluctance and had to call a second time to beg for someone to come to our room to fix the issue. This is not what I expect from any hotel - 1 star or 5 star. This is another example that showed a distinct lack of customer service.

On the second day of our stay, the lady from the first dispute displayed an attitude that was sour and unwelcoming. She did not greet us, nor did she smile or offer any form of service. This was incredibly disappointing and did nothing to improve our experience. This lack of interaction was the final straw that led me to publish this review, as I had initially wanted to move past the experience and simply see the previous days check-in as a one off.

However, it is worth noting that the restaurant staff were a bright spot during our stay. The restaurant manager was particularly kind and accommodating, and we thoroughly enjoyed the music provided by the flutist. We urge any future guests who do decide to choose to stay at this 'hotel' to sit outside whenever possible, as the atmosphere inside the dining hall is lacking and uninviting.

I hope the hotel takes this as constructive criticism and sees it as an opportunity to allow for leniency when it comes to human error, such as their own booking department's failure to pick up on a key detail prior to guest arrival. It would also be beneficial for the staff to receive training on how to manage expectations & dealing with mishaps. However, I fear that this feedback may not make an ounce of difference, given that there was the opportunity to make things right at the time. This is why I felt compelled to write this review.

In closing: the hotel may attempt to claim that we were given an upgrade due to our distress, but upon walking to our room, the front desk attendant revealed that we had already been upgraded before our incident. This leads us to believe that the hotel wanted to charge the second guest an inflated room rate based on this involuntary upgrade.",Positive
"everything's amazing.
definitely no.1 hotel all over the world.",Positive
Very beautiful and love the way it connects and blend with nature,Positive
Most beutyfull & amazing hotel,Positive
"We had a wonderful stay at Hotel Heritance Kandalama. The hotel is a masterpiece of architecture by Jeffry Bawa, blending harmoniously with the natural surroundings of forest, lake and rock. The hotel offers panoramic views of the Sigiriya Rocks, a UNESCO World Heritage Site, and exotic activities like bird watching, lake safaris and cycling excursions. The service was impeccable, from the friendly staff to the delicious food. The rooms were spacious and comfortable, with oversize glass walls that let in plenty of natural light. The hotel also has three impressive pools and a divine spa that offer relaxation and rejuvenation. The only downside was that we had to wait more than an hour to check in due to high occupancy, but they compensated us by letting us check out late on the next day. Overall, I would highly recommend Hotel Heritance Kandalama for anyone looking for a tranquil retreat blessed by nature and design  .",Positive
"We had a great time during our stay. it was fabulous experience. Food was amazing, staff was so friendly.  overall it was unforgettable grate experience to our life.",Positive
"You need to go here for a reboot, at least for a few days, preferably without children, otherwise you may not catch the vibe of this place. The hotel is very large, integrated into the surrounding landscape, many interesting locations visually and just for meditation. The abundance of flora and fauna is like in a hotel: opening the window you can see a monkey, and walking along the hall you can meet flying foxes and butterflies; as well as beyond. You can also see elephants.",Positive
We stayed 2 nights at Kandalama. Best location with lots of monkeys in the forest,Positive
"Yes,It's very nice place. Specially the view with bushes and the lake.
We enjoyed well..
I love this place.",Positive
We actually dropped by for lunch because their food is amazing.  Unfortunately they didn't have the buffet but they did have an impressive set menu.  As always their service and food was wonderful,Positive
A wonderful hotel in harmony with nature.,Positive
"They will basically hold you hostage, won’t let you get a normal taxi, will make you pay an arm and a leg for a car to get out of the hotel.

The hotel at night is basically an old folks home.

Be prepared to be woken up by screaming children at 7am. EVERYDAY!

Any tours you do will be extortionate.

The pools close super early (8pm)

Basically, if you’re a young and fun person this hotel is not for you. This hotel is for retired people.",Negative
Must visit place in life where you will get friendly and efficient service,Positive
Large comfortable rooms with amazing  views of nature. Friendly and helpful staff. The food was delicious,Positive
Average,Negative
What an amazing design by Geoffrey Bawa. Great staff. Pool is wonderful. Meals are great. Don’t miss the musician by the pool every evening.,Positive
Madushkanka and Navaratne gave us great room service. Over the service and the stay was superb. Will always come back.,Positive
"Beautiful admosphere sorrounded by lake, forest.",Positive
"Incredible experience surrounding the Lake and the Forest in an remote place. With fine Dining and Excellent food and Services, safari Tours, Ancient city tours etc. No night club. I've been here for four time's and even many more times I will visit.",Positive
"Amazing location but The quality of the rooms is very low, the cleanliness is poor, cobwebs, paint stains on the windows",Positive
"Beautiful hotel in the heart of the jungle, the jacuzzi bath in the rooms onlooking the jungle is sensational",Positive
"Highly recommended!!
I had a wonderful time during the two nights I spent here at Kandalama with my family. The location and the ambience of the hotel is such that you can spend the entire time of your trip at the hotel enjoying their numerous pools and the natural beauty. The staff is highly customer oriented and attentive to our needs. And the food, simply exquisite!! The buffet offers a wide range of choice too.
Worth visiting over and over again.",Positive
One of the best hotel in Sri Lanka. Its architecture is truly magnificent. Hotel Staff also really friendly.,Positive
"Hotel location is great and the pools are beautiful, food was average, we booked it via Agoda, check in was delayed, kept the kids waiting for hours- they were focused on money only! Service at restaurant could have been better.",Positive
There's nothing to complain about than the sneaky monkeys.  Amazing experience. Staff and service was on point and above.,Positive
We only spent the weekend at the hotel but ooooff! The whole hotel with the incredible architecture from Late Mr. Bawa was just soo amazing! Loved every bit of it .. Additionally the range of food! OMG ! loved it ! It was soo good and would highly recommend to hop into this beautiful hotel to spend time with the nature :) Wishing u the very best and hoping to drop there againsoon🙏,Positive
One of the best places to spend time. Customer service is excellent. Very friendly staff. Entertain the guests with many facilities. Food 😍 delicious. Great place have a meal with your loved ones.,Positive
Nice place,Positive
"We went for high-tea. Before serve, they have confirmed its charge for platters. Not for pax count. We have got the confirmation from two officials.

Unfortunately once we take High tea, they are charging for head count. Worthless . Totally disappointed about their bad communication and pricing",Negative
nice hotel,Positive
"This hotel is an amazing piece of architecture, and seeing it in person is a unique experience. It's located in the middle of a jungle surrounded by a lake, which is very beautiful. The hotel itself has all the features you'd expect, and they're all very nicely done. There's a gorgeous infinity pool, and the food is great - they have both international and local dishes available in the buffet. The service is also very warm and friendly. Overall, I highly recommend visiting this hotel in Sri Lanka. It's a must-see!",Positive
"Visited as one night of our honeymoon.
The hotel blended into the forest and was very quiet and relaxing.
Hotel staff are also very friendly and helpful.
There were a lot of monkeys, and it was very cute to see them coming to peek outside the room.",Positive
Wonder of wonder,Positive
"My kids had a wonderful weekend at your hotel and we both also.
My daughters  won’t her next holiday to be spend at the hotel.
So it was a good time we had service was so nice and friendly.",Positive
"Situated in a superb location with great views all around luxurious and very comfortable rooms, tasty buffet with a large spread of options where you can eat your fill.. a definite recommendation as a must visit place in Sri Lanka..",Positive
An amazing hotel with a great location in the middle of nature and by the lake. It is possible to see elephants in the morning hours and monkeys practically everywhere. Great breakfast buffet. Services very professional and nice.,Positive
"We have just returned from our honeymoon at Heritence Kandalama
What an absolutely stunning place, from the moment we arrived we were treated like royalty.

All of the staff from waiters, bar staff, chefs and housekeeping are truly amazing and the friendliest staff we have ever encountered, they really do make your stay that extra special.
The food was amazing, and the restaurant location is stunning overlooking the lake.
Big shout out to the manager who even opened the gift shop for us on our last day as we had to leave early.
The sights and sounds of this stunning hotel will stay with is forever, it is simply an amazing place.
We will definitely return.
Mark and Wendy Allan",Positive
"The hotel is in harmony with the environment, and the building is built to match the natural environment. The swimming pool and the reservoir are separated by a line, and the water and the sky are the same color. Take a break to cool off the summer heat naturally.",Positive
Stunning location with fantastic Bawa architecture. A home away from home in Kandalama. Highly recommended,Positive
I went this place on 2023.02.11. Wonderful place. This place situated in Kandalama. Foods are very testy.,Positive
"Heritance Kandalama is an architectural masterpiece by Geoffrey Bawa, built overlooking the rock fortress of Sigiriya.",Positive
"Everything about this masterpiece is amazing.
Most loving part is the people,They are really good and highly recommend the service.",Positive
Nice place,Positive
"2018

Exquisitely elegance place!

It has been more closer to nature than years ago that we used to go there. Naturally cool, calm, and playful ambiance give you physical, emotional, and spiritual healing that you needed the most.

A must visit place when you are in Dambulla, Sri Lanka.

2023

Lunch was good. Value for the money. Service was superb. Always love to drop by if we were in Dambulla. ❤️",Positive
"the location is great, in the middle of the jungle, nice rooms maybe a bit old, but ok. Cheeky monkeys are everywhere, especially on the room balconies. Be careful, lock it, otherwise you'll get in! Great food and very very nice staff! Special thanks to Dimuth in the restaurant!",Positive
Wonderful location.very professional staff.rooms r cleaned with amazing views,Positive
Excellent service,Positive
Stunning hotel nestled within the jungle and natural landscape! The rooms are little awkwardly laidout but I guess thats cause the hotel is built into the rocks with minimal disruption. Food is delicious. Watchout for wildlife.,Positive
Excellent,Positive
One of the best hotels in Sri Lanka,Positive
We can call it wonders of the world hotel. A six stories hotel bonded tour natural rock mountain created by world's best architect late Mr Jeffrey Bava if you Google you will find his creations. Being a pilot I don't see this hotel at hawk eye view as the hotel is bonded to The jungle and absorbed to the earth I should say very few is kind of hotels in the world that you should visit and experience. It's my first time but I will never forget to my life and must visit again and again. Wild animals are always  neighbors on the doors and windows. That is one of the specialty when you live in the jungle and it is safe.,Positive
Beautiful place,Positive
Hotel is one of the oldest with a beautiful architecture located facing the Kandalama lake. The way the hotel is maintained without disrupting the wildlife is highly appreciated. We visit there just after our wedding and we spent smooth stay at there. Staff was very friendly and Helpful. Food is excellent.,Positive
"I recently had the opportunity to visit a hotel with my partner during a quieter period. The hotel is situated in a stunning location, next to the beautiful Kandalama lake. The hotel boasts three swimming pools, although due to the lower occupancy, only two were in operation during our stay. Food was delicious and offered a variety of options. We opted for a deluxe room with a jacuzzi, and were treated to breathtaking views of the sunrise. While the room was a bit smaller than what one may expect in similar hotels, it was well-appointed and comfortable. The hotel's commitment to preserving the environment is evident in the beautiful greenery and trees that surround the premises, and the playful monkeys that roam freely. The staff was highly accommodating and displayed excellent customer service, making our experience enjoyable. In conclusion, I would highly recommend this hotel as a good place to visit for a relaxing getaway.",Positive
"It was an awesome experience and we had a good time there.A must visit location in the beautiful Island SriLanka.

Special thanks to Mr.Asela (GM) and his team (Mr.Lalith/Mr.Sanath/Ms.Imali)
They have treated us really and very friendly staff.

Highly Recommended for both local and Foreign tourists.

-Cheers-",Positive
Excellent customer care. Highly appreciate the friendliness of the staff.,Positive
"This is one the most iconic hotels in Sri Lanka, situated at the center of the island aboding a beautiful lake. The design and construction of the hotel is done by blending and harmonizing with Elements of nature. its one of greenest hotels we have visited, The view above the Kandalama lake is priceless. This is a 5 star property and has many luxurious villas and rooms with great amenties and sevices. The staff is very friendly ans attentive. Its was great experience overall.",Positive
"We Stayed at Heritance Kandalama for 2 nights, Stay was simply remarkable, Loved the architecture it was so green, and mesmerizing view, The nature lovers and those who live a stressful life, this is a great place to relax with loved ones. The room was so clean, we got the deluxe room with the jacuzzi. We could see the sunrise and Sigiriya rock from our room, which was a beautiful scene. Super Friendly Staff with a warm welcome at the reception. The food is also delicious and excellent and it was nice to see that chef speaking to guests personally. and also all the restaurant staff was friendly. &#13;&#10;Overall it’s an amazing experience! Looking forward to coming again :)",Positive
"The surrounding area and the hotel premises look very lovely and pleasant. It is undeniably a great work of architecture! But the only downside is the service that they provide. I went there over the weekend, and it took more than an hour to check us in to the hotel. We were waiting in the lobby area, frustrated. And the reason they gave is that the day is busy, and clearly, I saw a lack of service staff in the lobby/reception area. Visitors might travel from far away with the intention of checking in quickly and having a rest, but this gave me more stress than I expected. Sad to say, the unsatisfactory service experience continues in Bar as well. In the evening (before dinner), we ordered a few drinks and snacks, but it took more than 40 minutes to serve us the snacks that we ordered. I was amazed at the fact that they take this much time to serve their customers, and I had to cancel it to go to dinner. However, the staff at the buffet/restaurant are outstanding! They are very quick and friendly. The food is very tasty, and the variety of food is also very good. Rooms are clean and tidy. The surrounding area is also very clean and pleasant. I wish they would fix their issues in terms of service in those areas; otherwise, it will give a bad impression that will last forever! ... Due to poor customer service, I felt the value for money was not met.",Positive
Everytime I have visited it has been an amazing memorable stay. Love the architecture which prioritises nature and conservation. Amazing service as always.,Positive
"Eco-freindly resort hotel inside wood area, view from the room lookin down lake is just fantastic. Looking out the lake in the jacuzzi or in the pool is unforgettable experience. Service and food were also great. Only limitation about the resort is the location, which itself is great but not easy to get there.",Positive
"If you are a nature lover, this is one of the best places to visit in sri lanka. Had a great vacation, thanks to the friendly and helpful staff.  Will definitely visit again.",Positive
I wish this remained a bucket list item that wasn't ticked off. We had a very disappointing stay. The room we stayed didn't have good air conditioning. Didn't want to make a fuzz because we stayed only one night. However the staff and other facilities were good. Hopefully this hotel will fully gain its glory once tourism kicks off and the place gets maintained regularly. An amazing place to visit though at least only for the location.,Negative
Beautiful place,Positive
"The architecture is awesome. Well done Jeffrey Bawa.
The view is awesome.
The service is Good
But the quality of the food is not up to the standards of a 5-star hotel and needs improvement (some 4-star hotels have better food).
The eco-park needs improvement, the naturalists there are great though.",Positive
"An amazing experience turned sour at the check out!

My family and I checked in to Herittance Kandalama for just one night, the overall experience was amazing until we checked out and went into cashier's office to make payments.

My father made the booking via an individual by the name Indunil who works at your Hotel, he failed to communicate effectively the room rates to my father and we were in for a surprise when we checked out. Apparently we were upgraded to two suites rather than double rooms for which he sent the confirmation via whatsapp to my father. The front desk also failed to communicate this at the time of checkin and consequently we were requested to pay an extra 30,000 LKR at the end. I was absolutely furious as we were not made aware of this and a hotel of such caliber failed miserably to effectively communicate to their customer the room rates. We made the payment but left with a bitter taste.

The hotel also failed to provide my wife with a band aid, that's a very simple request which the hotel failed to cater to.

I would not recommend this property to my friendly and family as we felt we were deceived.",Positive
"We four of us, this is my wife and two daughters obviously including myself,  climbed Sigiriya in the morning and made our arrival  to Heritance thereafter. Had some excitement on our way to hotel as well by waiting  for an elephant to move freely across the road. He had his own time and freedom to cross while no disturbance from us except closely watching his movement and eye contacts. Then some Baboons gave us good time with  free entertainment.  We made the checking around 2.30pm and rocking environment along with fantastic view  and hospitality from staff made us to  leave the place with wonderful memories. Fingers cross for next visit. Thank you Heritance.",Positive
Amazing service friendly staff delicious food. Beautiful atmosphere. Definitely recommend this to everyone!!,Positive
One of very best and Ecofriendly hotels in Sri Lanka. A must visit place for everyone,Positive
"One of the best green hotels in Sri Lanka. Situated just above the Kandalama lake facing Sigiriya and Dambulla. Great hospitality, delicious buffet and awsome scenaries.",Positive
A very special hotel which I will not forget. Integrated into the nature so you can be part of it! The staff is very friendly and always helpful. Special thanks to Indunil who has organized a mind blowing dinner for us!,Positive
"This hotel is one of the oldest with a beautiful architecture located facing the Kandalama lake. The way the hotel is maintained without disrupting the wildlife is highly appreciated.
Staff is extremely friendly and accommodating. Our favorite part was the buffet which included a variety of active stations both for dinner and breakfast (we stayed during a long weekend so the spread was huge)
Rooms were quite old but was spacious.
Definitely worth the visit ✨",Positive
"By far the best hotel i have been 2, the staff are very respectful, rooms are well cleaned, the food is amazing and the hotel is huge with 6 floors and free wifi. Very excited to go there again this year.",Positive
"Beautiful hotel, amazing staff and service! Highly recommend!",Positive
Excellent hotel and the staff,Positive
"Had an amazing experience at this fantastic hotel. Situated in a superb location with great views all around, somewhat old but luxurious and very comfortable rooms, tasty buffet with a large spread of options where you can eat your fill.. a definite recommendation as a must visit place in Sri Lanka..",Positive
Just wow..... nature lover's...,Positive
Magnificent hotel nestled in the middle of nature but marred by a tourist factory. More privacy would have made the experience unique and there are not enough deckchairs to enjoy the pool!,Positive
Love that place much,Positive
"This hotel is worried about the oldness of the elevator and the water area, but the others are wonderful.",Positive
The most spectacular hotels in Sri Lanka. Just amazing!!,Positive
Best place to spend your holiday . Best Foods,Positive
Fantastic - this architect's favorite building in the whole world. (Even if it's made of concrete),Positive
"Really unique hotel which was designed by jeffrey bawa located in the forrest and designed to allow nature run through with minimal intervention. You can actually see monkeys outside the balcony of your room (warning though keep the doors locked as they come looking for food).

Food in the buffet is so so - generally there are one or two items which are really really good and the rest are typical buffet food.

Small bar and very isolated and private (far away from the main road).

Has two swimming pools, small bar area, table tennis court and meeting / function halls.

Truly a unique stay.

Easily can visit sigiriya and dambulla temple (town is not far at all).

Has an elephant safari as well (go for the eco one vs the rest more reasonably priced!).",Positive
"This is an amazing hotel with outstanding customer service on all aspects ! The staff is friendly , the hotel is very clean, the food is delicious and there is an overall upscale feel to it! They have maintained the hotel with minimum damage to the natural environment , great outdoor pool with great looks of kandalama lake amenities and also a nice gym.

Most of the times it's full of tourists because of Lion Rock SIGIRIYA and natural environment of this area. It's good for safari facilities and many

It's very good and recommended for anyone.

It's located near the distance of the world heritage site Lion Rock SIGIRIYA of Sir Lankan.",Positive
"Definitely should be on your top 3 places to stay in while in Sri Lanka. Set in a jungle with a lake on one side. Approx 4hrs from Colombo. Have stayed here a few times over the years, still love it every time I go. Quite a relaxing place. Minimum 2 nights recommended as you can actually unwind. I stayed for 4 days/3 nights.",Positive
"A shadow of its former self.
Local 5 star hotels now outshine what was once a jewel of a hotel.",Positive
They give me great services..❤️,Positive
